MARCA,MODELO,URL,PRECIO_LISTA,PRECIO_DESDE,PRECIO_BONO,legal_bono,FECHA_EXTRACCION
YAMAHA,YFM-90R,https://www.yamahamotos.cl/producto/yfm-90r-2/,3.149.000,2.999.000,2.999.000,0.0,2023-02-28 10:55:22.026442
YAMAHA,YZ-125,https://www.yamahamotos.cl/producto/yz-125/,0,7.400.000,0,0.0,2023-02-28 10:55:25.807016
YAMAHA,YZ-125X,https://www.yamahamotos.cl/producto/yz-125x-2t/,7.559.000,7.559.000,0,0.0,2023-02-28 10:55:28.867193
YAMAHA,YZ-250F,https://www.yamahamotos.cl/producto/new-yz-250f/#motos,8.999.000,8.999.000,0,0.0,2023-02-28 10:55:32.297040
YAMAHA,YZ-250FX,https://www.yamahamotos.cl/producto/new-yz-250fx-2023/,9.290.000,9.290.000,0,0.0,2023-02-28 10:55:35.578313
YAMAHA,YZ-250X,https://www.yamahamotos.cl/producto/yz-250x/,7.999.000,7.999.000,0,0.0,2023-02-28 10:55:38.873756
YAMAHA,YZ-450F,https://www.yamahamotos.cl/producto/new-yz-450f/,8.090.000,7.690.000,0,0.0,2023-02-28 10:55:42.128773
YAMAHA,YZ-450FX,https://www.yamahamotos.cl/producto/new-yz-450fx-2023/,9.490.000,9.490.000,0,0.0,2023-02-28 10:55:45.218733
YAMAHA,YZ-65,https://www.yamahamotos.cl/producto/yz-65/,4.890.000,4.890.000,0,0.0,2023-02-28 10:55:48.488020
YAMAHA,YZ-85LW,https://www.yamahamotos.cl/producto/yz-85lw-2/,6.100.000,6.100.000,0,0.0,2023-02-28 10:55:51.360240
YAMAHA,YZF-R1,https://www.yamahamotos.cl/producto/r1/,21.390.000,21.390.000,0,0.0,2023-02-28 10:55:54.478544
YAMAHA,YZF-R15,https://www.yamahamotos.cl/producto/new-r15-v4/,4.390.000,3.990.000,0,400.0,2023-02-28 10:55:58.208643
YAMAHA,YZF-R3A,https://www.yamahamotos.cl/producto/r3-a/,6.290.000,5.890.000,0,400.0,2023-02-28 10:56:01.728822
YAMAHA,YZF-R7,https://www.yamahamotos.cl/producto/r7/,11.990.000,10.990.000,11.490.000,500.0,2023-02-28 10:56:05.119182
YAMAHA,WR-450F,https://www.yamahamotos.cl/producto/wr-450f/,9.669.000,9.669.000,0,0.0,2023-02-28 10:56:08.428397
YAMAHA,YZ-250,https://www.yamahamotos.cl/producto/yz-250/,0,7.800.000,0,0.0,2023-02-28 10:56:11.680501
YAMAHA,TENERE 700 TOURING,https://www.yamahamotos.cl/producto/tenere-700-touring/,0,14.740.000,0,0.0,2023-02-28 10:56:14.953764
YAMAHA,TRACER 9 GT,https://www.yamahamotos.cl/producto/tracer-900-gt/,14.990.000,14.990.000,0,0.0,2023-02-28 10:56:18.149040
YAMAHA,XSR-700,https://www.yamahamotos.cl/producto/xsr-700/,9.890.000,9.890.000,0,0.0,2023-02-28 10:56:21.601953
YAMAHA,FZ-250,https://www.yamahamotos.cl/producto/new-fz-25/,3.190.000,3.090.000,0,0.0,2023-02-28 11:05:41.482859
YAMAHA,FZ-S,https://www.yamahamotos.cl/producto/fz-s/,2.790.000,2.390.000,0,0.0,2023-02-28 11:05:44.867896
